"Dataset ID","Target Gene","T(co)F","Molecular Type","Knock-Method","Tissue Type","Biosample Name","Profile ID","Platform","Mean Expr. of Control","Mean Expr. of Treat","Fold Change","Log2FC"
"DataSet_03_461","SREBF1","TXNIP","TcoF","shRNA","Cord_Blood","CD34+ cells","GSE212024","GPL18573","33.2","58.2","1.75301","0.809836"
"DataSet_03_466","SREBF1","SMARCA1","TF","Cas13","Embryo_kidney","HEK293T","GSE220741","GPL24676","2426","567","0.233718","-2.09716"
"DataSet_04_010","SREBF1","FUBP1","TF","shRNA","Haematopoietic_and_lymphoid_tissue","K562","ENCSR608IXR","-","27.215","48.05","1.76557","0.820134"
"DataSet_04_012","SREBF1","MARK2","TF","shRNA","Haematopoietic_and_lymphoid_tissue","K562","ENCSR016OIX","-","37.29","123.035","3.29941","1.72221"
"DataSet_04_014","SREBF1","NKRF","TF","shRNA","Haematopoietic_and_lymphoid_tissue","K562","ENCSR231PWH","-","261.948","8.325","0.0317812","-4.97568"
"DataSet_04_015","SREBF1","NUP35","TcoF","shRNA","Haematopoietic_and_lymphoid_tissue","K562","ENCSR953IQF","-","37.29","108.645","2.91352","1.54276"
"DataSet_04_058","SREBF1","NPM1","TcoF","shRNA","Liver","HepG2","ENCSR016XPB","-","30.765","49.66","1.61417","0.690794"
"DataSet_04_059","SREBF1","HDGF","TcoF","shRNA","Haematopoietic_and_lymphoid_tissue","K562","ENCSR793QPX","-","37.29","105.575","2.83119","1.50141"
"DataSet_04_060","SREBF1","ABT1","TcoF","shRNA","Haematopoietic_and_lymphoid_tissue","K562","ENCSR233UVM","-","27.215","50.83","1.86772","0.901278"
"DataSet_04_064","SREBF1","CCAR1","TcoF","shRNA","Haematopoietic_and_lymphoid_tissue","K562","ENCSR386YEV","-","141.34","221.825","1.56944","0.650252"
