"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"FUT7",40.9094338092941,1.60692831695982,0.316872589137063,5.07121275884404,3.95288547640215e-07,2.08685478011984e-05,"Up"
"CIDEC",14.7829043057974,1.84870589742036,0.364637070169308,5.06998889762353,3.97838909267178e-07,2.08848617270511e-05,"Up"
"ERMN",16.2216406209303,1.67959922687899,0.33125308010427,5.07044108495624,3.96894767875972e-07,2.08848617270511e-05,"Up"
"HLA-DQB2",880.407115541643,1.57670493262992,0.311305490990848,5.06481568189323,4.08795686981365e-07,2.13997652319795e-05,"Up"
"GDPD2",52.3861070361331,2.04951773094504,0.406383300986615,5.04331188306516,4.57542571409728e-07,2.38844912066994e-05,"Up"
"UBA2",6601.56340442351,-0.690973759148279,0.137044524841339,-5.04196544844272,4.60774499115871e-07,2.39860155461547e-05,"Down"
"CALY",4.01758576584577,2.05803941087634,0.4083233429988,5.04021983108221,4.64997403292627e-07,2.41384167347114e-05,"Up"
"SEMA4D",1137.9559932619,0.986097163338226,0.195885402236597,5.03405129774389,4.80221075533983e-07,2.48594443434758e-05,"Up"
"PTK2B",1165.62641616683,0.830333447907095,0.164984246925747,5.03280442453877,4.83356177650702e-07,2.49524258357299e-05,"Up"
"ETV7",369.354575163453,1.58719612624345,0.316097865182474,5.02121748062807,5.13449832694806e-07,2.64327377958574e-05,"Up"
"SPN",453.551199586442,1.44236417123293,0.287397968371715,5.01869995603935,5.20223271745815e-07,2.67076608602067e-05,"Up"
"CCND2",1004.17643374687,1.19197713019878,0.237635483339129,5.01598967229029,5.27611629212007e-07,2.70125558296565e-05,"Up"
