"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"CARHSP1",1914.85784180892,-0.706847111746746,0.187575625475536,-3.76833135944378,0.000164342454762835,0.0121544759581226,"Down"
"KRT79",190.624016759996,-2.16535768453878,0.574329745184059,-3.77023426471641,0.000163094381129244,0.0121544759581226,"Down"
"SCNN1A",694.397623631166,-1.83475599273906,0.48691322562267,-3.76813751647998,0.000164470095161355,0.0121544759581226,"Down"
"NUDT10",57.6418663326209,1.88016792084791,0.49863824609811,3.77060511414919,0.000162852189850132,0.0121544759581226,"Up"
"MFSD2B",42.3196151588633,-0.730141505647924,0.193524857365844,-3.77285644638222,0.000161389155904314,0.0121544759581226,"Down"
"PCDHGA5",41.106131927391,0.942319647308029,0.250272687133714,3.76517173368012,0.000166434651107687,0.012249042388518,"Up"
"MAPK13",1318.8884785245,-1.32767522613288,0.353097565395476,-3.76008037508232,0.000169858774293378,0.0122583438200454,"Down"
"LTB4R",1597.63629008852,-1.19456072586283,0.317680885385463,-3.76025370369197,0.000169741122997332,0.0122583438200454,"Down"
"PPP1R13L",1225.85295336805,-1.29377527479451,0.344143479644315,-3.75940661764585,0.00017031683364076,0.0122583438200454,"Down"
"TMPRSS13",1110.21970735781,-1.70001130352362,0.45213054377317,-3.76000101505309,0.000169912667570793,0.0122583438200454,"Down"
"SEC14L6",17.9993172729563,-1.69647377487792,0.451156016384964,-3.7602818388004,0.000169722032794207,0.0122583438200454,"Down"
"NPIPB3",62.0916445601884,-0.794684240907747,0.211415000342708,-3.75888295352529,0.000170673653052521,0.0122583438200454,"Down"
"S100A2",10229.7490234244,-1.89639490883851,0.504770563638996,-3.75694433361368,0.000172000738094295,0.0122913415836227,"Down"
"CPSF4L",4.29447967487056,1.38398483879796,0.368452706855446,3.75620754861474,0.000172507645800117,0.0122913415836227,"Up"
"HSPE1",1074.19364852094,-0.528389845183294,0.14081283587436,-3.75242670103418,0.000175131046363481,0.0124062321006903,"Down"
"NPIPB13",9.66878854188043,-1.28809702554814,0.343747844549951,-3.74721484358563,0.000178808928591723,0.0124914799958374,"Down"
"DDN",58.8097200641317,-1.13956972189875,0.304663158337222,-3.74042509149529,0.000183709292080305,0.0126363729983238,"Down"
"RAET1G",47.3255345429791,-1.50349083240497,0.401843496554848,-3.74148355092206,0.00018293715301113,0.0126363729983238,"Down"
"NPC1L1",8.9143511088136,-1.50248544849778,0.401668117990721,-3.74061415681611,0.000183571145819542,0.0126363729983238,"Down"
"LYPD2",66.0165913654584,-2.8414070345531,0.76031342873518,-3.73715224164845,0.000186116242331867,0.0127528845895138,"Down"
"S100A16",11414.891962816,-1.16101673202585,0.31100065820802,-3.73316487082569,0.000189088731953386,0.0128093290994483,"Down"
"AC013394.1",4.75908353914285,-1.20753988218294,0.323393940847764,-3.73395951395201,0.000188492807405986,0.0128093290994483,"Down"
"LRRN2",48.4968559428244,1.3663170652604,0.366471185088366,3.72830694705489,0.000192770498058457,0.0129120134354961,"Up"
"RPP21",36.7730735222103,-0.821379884340339,0.220265958308315,-3.72903689089633,0.000192213013572672,0.0129120134354961,"Down"
"PET100",66.6407552379543,-0.743359995340563,0.199447241750605,-3.72710090556219,0.000193694926096214,0.0129159662665762,"Down"
