"","gene_id","gene_symbol","log2.fc.","pval","qval","fc","up.down","significant","change"
"54","ENSG00000124160","NCOA5",0.5673,8.34352801914594e-05,0.0189878659325654,1.4818,"Up","yes","Up"
"55","ENSG00000124225","PMEPA1",0.2693,9.33789429069963e-05,0.0204571714922404,1.2052,"Up","yes","Up"
"56","ENSG00000125730","C3",-0.4239,3.94334418981034e-11,6.60626132504697e-08,0.7454,"Down","yes","Down"
"57","ENSG00000125772","GPCPD1",-0.3809,0.00019320344907517,0.0363810844938861,0.768,"Down","yes","Down"
"58","ENSG00000127863","TNFRSF19",0.4338,5.39210588596071e-05,0.0139606523301964,1.3507,"Up","yes","Up"
"59","ENSG00000128965","CHAC1",0.7178,1.05922337505939e-14,2.74242561106285e-11,1.6446,"Up","yes","Up"
"60","ENSG00000129353","SLC44A2",-0.3378,9.300060183381e-07,0.000464676691267879,0.7912,"Down","yes","Down"
"61","ENSG00000130066","SAT1",-0.3203,0.000123443325992997,0.025850484737357,0.8009,"Down","yes","Down"
"62","ENSG00000130749","ZC3H4",0.542,1.22257810142638e-05,0.00434140903739608,1.456,"Up","yes","Up"
"63","ENSG00000131791","PRKAB2",-0.3819,3.01030957656172e-06,0.00136085105937266,0.7674,"Down","yes","Down"
"64","ENSG00000133067","LGR6",0.9823,3.79963704402428e-09,3.38167696918161e-06,1.9756,"Up","yes","Up"
"65","ENSG00000134107","BHLHE40",-0.4475,1.21477825444822e-07,8.04578713643843e-05,0.7333,"Down","yes","Down"
"66","ENSG00000134686","PHC2",0.2605,0.000237262433624773,0.0427673044913515,1.1979,"Not","no","Up"
"67","ENSG00000135069","PSAT1",0.3787,1.67119361666422e-05,0.00559948167089375,1.3002,"Up","yes","Up"
"68","ENSG00000135074","ADAM19",0.4733,3.24599617180923e-08,2.37040951213146e-05,1.3883,"Up","yes","Up"
"69","ENSG00000135114","OASL",0.3204,0.000148610635689755,0.0295974189121974,1.2487,"Up","yes","Up"
"70","ENSG00000135245","HILPDA",-1.0896,2.38895400517086e-22,2.26791366890887e-18,0.4699,"Down","yes","Down"
"71","ENSG00000135829","DHX9",0.367,4.12999972649087e-06,0.00179389375991799,1.2896,"Up","yes","Up"
"72","ENSG00000136244","IL6",0.364,0.000249225039418904,0.043814377300311,1.287,"Up","yes","Up"
"73","ENSG00000136869","TLR4",0.4906,1.34533571722923e-05,0.00467258063740104,1.405,"Up","yes","Up"
"74","ENSG00000137193","PIM1",-0.4913,9.6271448577186e-05,0.0209298538586127,0.7114,"Down","yes","Down"
