"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"140","ITGAD",50.33497725873,2.22822426521436,0.34324914248136,6.49156542418852,8.49490053635427e-11,1.1307926171107e-08,"Up"
"141","MYO7A",481.181998751018,1.64822428949948,0.254066096155378,6.48738385184414,8.73396217471711e-11,1.15436963892218e-08,"Up"
"142","CTSW",436.135321206759,2.02106603654508,0.311688462018483,6.48425040650121,8.91740126907903e-11,1.17031471866589e-08,"Up"
"143","TLR10",27.4439699848203,2.02694509894639,0.313029643868339,6.47524967251641,9.46552928246985e-11,1.23356366229446e-08,"Up"
"144","TTC24",18.1588805058288,2.15957255270637,0.333778453323618,6.47007777524974,9.79524868741242e-11,1.26766843429596e-08,"Up"
"145","CCR7",192.556253851901,1.83922847912932,0.285507688434336,6.44195779530584,1.17942082145581e-10,1.51584044335521e-08,"Up"
"146","TIFAB",33.3261982517253,1.94036328362392,0.301940815156352,6.42630338869274,1.30744334954717e-10,1.66887083987405e-08,"Up"
"147","HCLS1",1455.94916840915,1.29702347933318,0.202145601000787,6.41628347543476,1.39641320815284e-10,1.77030996919295e-08,"Up"
"148","CLNK",11.4985211540671,1.73241342799765,0.27018407815974,6.41197453157622,1.43646838897683e-10,1.80878546601163e-08,"Up"
"149","TOGARAM2",31.2180991250585,1.6040225065909,0.251287886534593,6.3832066428323,1.7341763910537e-10,2.16900075326689e-08,"Up"
"150","CEND1",66.6781625869519,2.349657047713,0.368964783121248,6.36824205236105,1.91207002456955e-10,2.37555579852521e-08,"Up"
"151","ZBTB32",29.4652454553083,1.42691791463916,0.224125257919778,6.36660913581593,1.9325280926117e-10,2.38507241946435e-08,"Up"
"152","TNFRSF1B",1910.16507709447,1.208782110752,0.1899194842541,6.36470826308022,1.95661270878995e-10,2.39891016059273e-08,"Up"
"153","SELL",417.822845636278,1.72517746574224,0.271408801484824,6.35637995637626,2.06563725784506e-10,2.51602718543795e-08,"Up"
"154","PPP1R3G",32.9232870532586,1.4357395325679,0.22593025502581,6.35479091724073,2.08710303949034e-10,2.52566573012611e-08,"Up"
"155","ISG15",3822.22982440917,1.92337059410421,0.303247103327393,6.34258521515933,2.25941157802219e-10,2.7165415592272e-08,"Up"
"156","PTPN7",492.770237160213,1.65119981561493,0.260458157165937,6.33959724503064,2.30366574070851e-10,2.75199453486178e-08,"Up"
"157","LTB",366.919044154412,1.8638661918892,0.294499310770727,6.32893227156058,2.46863428784359e-10,2.93028462345561e-08,"Up"
"158","CCL4",366.339077940746,1.80176256426077,0.285154280222884,6.31855346113854,2.64022960837401e-10,3.11413411276317e-08,"Up"
"159","BIN2",262.329173738036,1.39409593624245,0.220790690512879,6.31410650967246,2.7172675602336e-10,3.18484265739078e-08,"Up"
"160","CCDC88B",651.423149362468,1.17759976384839,0.186987324430001,6.29775182589567,3.01993497193405e-10,3.51746925856018e-08,"Up"
"161","SLAMF8",184.28787826512,1.51312076910732,0.240469458913616,6.29236151627421,3.12672236980165e-10,3.61922969463501e-08,"Up"
"162","DTHD1",28.7210897827217,2.14507345764985,0.34258215317879,6.26148629677844,3.8132533255703e-10,4.38665364045235e-08,"Up"
"163","ZNF683",83.1091332303577,2.24524227121711,0.358700340239095,6.25938149297691,3.86507314073212e-10,4.41898791721987e-08,"Up"
"164","KCNA3",25.7519685988374,2.00437646408031,0.320322191015613,6.25737623024254,3.91508139494501e-10,4.44886932171922e-08,"Up"
"165","ZBP1",112.698214121852,1.9944212743283,0.319603419810969,6.24030016796413,4.36732003018213e-10,4.93268945954389e-08,"Up"
"166","PTPN6",1201.52445630368,1.39610188474701,0.224599946864461,6.21594931003933,5.10152719883595e-10,5.72723258298233e-08,"Up"
"167","SMTNL1",13.5361371611582,2.07479674778351,0.333974710440775,6.21243669930942,5.21691990240457e-10,5.82170774258752e-08,"Up"
"168","GNLY",390.953202291219,1.96375485569555,0.316343484237884,6.20766651927891,5.37771144247497e-10,5.96541847868831e-08,"Up"
"169","IL9R",5.77602918861041,2.03242516153231,0.327486757514691,6.20612930109435,5.430550299451e-10,5.9883867089094e-08,"Up"
"170","IRAG2",82.5420305436724,1.44894681305838,0.233936609529065,6.19375828338813,5.87462964245108e-10,6.43997635392461e-08,"Up"
"171","SREBF1",11.1237214249485,2.66829321419677,0.431197519624104,6.18809963592288,6.08938372826306e-10,6.63635995087195e-08,"Up"
