"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"RNF145",6133.74494368386,0.708767196550048,0.138413448142532,5.12065269712947,3.04479953876242e-07,0.000236753021527075,"Up"
"SULF1",1850.85788242885,1.2548860181455,0.24591508453424,5.1029241273354,3.34445113149231e-07,0.000249217350148369,"Up"
"ABCG4",106.10647173983,-2.10557142189458,0.417948752539322,-5.03786985629651,4.70741329289656e-07,0.000336749517320648,"Down"
"CNFN",5513.53857006699,-2.71463312166527,0.540438138111343,-5.02302285910472,5.08644879763091e-07,0.000339557434717435,"Down"
"CDH16",4.7893385292166,-2.77364977325667,0.552352554131828,-5.02152068005951,5.12639830986957e-07,0.000339557434717435,"Down"
"C1QTNF12",53.3471449592513,-1.52634911217503,0.307025036625463,-4.9714157807821,6.64657360705126e-07,0.000424526151387517,"Down"
"CCDC78",420.884357576288,-1.23363664070172,0.250447189350344,-4.92573561676515,8.40435703203296e-07,0.000518288004003026,"Down"
"IQSEC3",52.027727548844,-1.66301065315145,0.338882572443359,-4.90733601660619,9.23217878486887e-07,0.000550360951295316,"Down"
"EDN3",29.9810534587228,3.58508592025024,0.732389137878667,4.89505610451062,9.82776865623698e-07,0.000551815932141873,"Up"
"TM4SF19",38.799535063097,-1.94410729226527,0.397231708248532,-4.8941392439118,9.87369147200847e-07,0.000551815932141873,"Down"
"SLC1A6",58.1491076325053,-2.49842478709446,0.51163577429372,-4.88320972188346,1.04372756696047e-06,0.000565637085076398,"Down"
"POU6F2",16.0837936539351,3.46510261028009,0.715765695487918,4.84111299566826,1.29113925202852e-06,0.000679139246567,"Up"
"CLIC3",739.771096936876,-2.37964231209558,0.495313002799195,-4.80432029574704,1.55278090084345e-06,0.000793426675162407,"Down"
"PRSS22",173.597186255599,-2.36832265366465,0.49510038903418,-4.78352008222954,1.72251673169395e-06,0.00085570803415596,"Down"
"BTNL9",154.454889049594,-1.75138548397048,0.368326185312558,-4.7549849937611,1.98461158040181e-06,0.000959264689294757,"Down"
"SDCBP2",451.533772445392,-1.51565835450026,0.320294513941379,-4.73207716188876,2.22233896867071e-06,0.00104590289778176,"Down"
"SULT2B1",1105.41765411873,-2.51772376660625,0.533327776091246,-4.7207812521197,2.3494049921577e-06,0.00107735279178842,"Down"
"IL11",115.55818944881,-1.77954738528427,0.378649430781042,-4.6997228587234,2.60514789122185e-06,0.00116476162216529,"Down"
"ALOX15B",212.440733970193,-1.80151634641758,0.385595133300098,-4.67204119253109,2.98221130036376e-06,0.00127082555645103,"Down"
"TMEM178A",60.3301105119105,-1.30677961214035,0.279711476850601,-4.6718841388061,2.98449303125383e-06,0.00127082555645103,"Down"
"PCDHGA7",139.289147338186,1.55254740163549,0.333061509571332,4.6614434782143,3.13999305428543e-06,0.00127626444961001,"Up"
"CHRND",7.32308875131354,-1.91925720896506,0.411433953787243,-4.66480024630522,3.08916975854326e-06,0.00127626444961001,"Down"
"CRLF1",133.915684610458,-1.60796527500269,0.345750232413407,-4.65065565908306,3.30881394280211e-06,0.00131499619006829,"Down"
"TUBA4A",5426.15988760494,-2.01529009630111,0.434543517442886,-4.63771754819926,3.52277742227239e-06,0.00135801704297195,"Down"
"ATP5MG",820.437732202856,-0.663912449234727,0.143238140896623,-4.63502559499067,3.56893318159705e-06,0.00135801704297195,"Down"
"ANKFY1",3945.09235746294,0.533044811384447,0.115364116252275,4.62054258031849,3.82737779621789e-06,0.00140311993330371,"Up"
"LINC00514",11.6804035622954,-1.19464068368255,0.258601336545246,-4.61962300598368,3.84437915074266e-06,0.00140311993330371,"Down"
"RAPGEFL1",1261.45636349772,-1.44542705895593,0.313716175884807,-4.6074355422676,4.07665517380215e-06,0.00143439801261146,"Down"
"LYPD5",1300.36543208655,-2.06707208121499,0.448706933342232,-4.60673086956385,4.09048862912012e-06,0.00143439801261146,"Down"
"S100P",252.059015787252,-2.36254674952195,0.51395434593048,-4.59680274761511,4.29023422133809e-06,0.00147551055412328,"Down"
"FAM83G",1987.56983181814,-1.51054289940356,0.329577379269435,-4.58327237977297,4.57755132345217e-06,0.00154462128053997,"Down"
"FHAD1",104.766159130368,1.4002101831586,0.306587521081198,4.56708145922144,4.94561855310083e-06,0.00163791559636399,"Up"
"PCSK9",109.801269393886,-2.11856752931482,0.464767032420795,-4.55834295793314,5.15587955165992e-06,0.00167650454367065,"Down"
"SLC26A2",4038.66749577657,1.03305393129687,0.228489448557283,4.52123254627176,6.14806028142008e-06,0.00179312708615528,"Up"
"SLC12A8",147.752875838222,-1.1226156489705,0.247464311680738,-4.53647494196588,5.72022824330741e-06,0.00179312708615528,"Down"
"CCL20",106.934462934337,-1.5739326445847,0.34830051039286,-4.51889273090472,6.21638779588613e-06,0.00179312708615528,"Down"
"ATP2C2",138.337360701883,-1.87206519153025,0.413067048137055,-4.53210973853596,5.83974971258918e-06,0.00179312708615528,"Down"
"ANKRD23",58.957872978141,-1.04163030660117,0.229573655394566,-4.53723797188718,5.69957797335911e-06,0.00179312708615528,"Down"
"MPP4",46.0699585206757,1.79752520575388,0.397365098362878,4.523611190715,6.07933584891122e-06,0.00179312708615528,"Up"
