"","gene_id","gene_symbol","log2.fc.","pval","qval","fc","up.down","significant"
"13983","ENSG00000187742","SECISBP2",-0.0128,0.898348916088169,0.999184980162191,0.9912,"stable","no"
"13984","ENSG00000187753","C9orf153",-0.7312,0.577731184604833,0.999184980162191,0.6024,"stable","no"
"13985","ENSG00000187764","SEMA4D",0.0692,0.7106122101296,0.999184980162191,1.0492,"stable","no"
"13986","ENSG00000187772","LIN28B",0.1001,0.706759511807601,0.999184980162191,1.0718,"stable","no"
"13987","ENSG00000187773","DIPK1C",2.1421,0.648574966743806,0.999184980162191,4.414,"stable","no"
"13988","ENSG00000187775","DNAH17",-0.0921,0.829901434536037,0.999184980162191,0.9381,"stable","no"
"13989","ENSG00000187778","MCRS1",0.1243,0.21843187993052,0.999184980162191,1.0899,"stable","no"
"13990","ENSG00000187790","FANCM",0.0178,0.934937575346784,0.999184980162191,1.0124,"stable","no"
"13991","ENSG00000187792","ZNF70",-0.271,0.243977235948507,0.999184980162191,0.8287,"stable","no"
"13992","ENSG00000187796","CARD9",-0.1485,0.878617087917809,0.999184980162191,0.9022,"stable","no"
"13993","ENSG00000187800","PEAR1",0.1849,0.745564840014236,0.999184980162191,1.1368,"stable","no"
"13994","ENSG00000187801","ZFP69B",0.1347,0.568714472690183,0.999184980162191,1.0979,"stable","no"
"13995","ENSG00000187808","SOWAHD",0.431,0.860886429046767,0.999184980162191,1.3482,"stable","no"
"13996","ENSG00000187812","GOLGA6EP",2.1421,0.648574966743806,0.999184980162191,4.414,"stable","no"
"13997","ENSG00000187815","ZFP69",0.184,0.398056219685625,0.999184980162191,1.1361,"stable","no"
"13998","ENSG00000187821","HELT",-0.2628,0.654987622792172,0.999184980162191,0.8335,"stable","no"
"13999","ENSG00000187837","H1-2",0.0759,0.525591308806123,0.999184980162191,1.054,"stable","no"
"14000","ENSG00000187838","PLSCR3",-0.8847,0.239248992555015,0.999184980162191,0.5416,"stable","no"
"14001","ENSG00000187840","EIF4EBP1",0.0903,0.231613742818828,0.999184980162191,1.0646,"stable","no"
"14002","ENSG00000187860","CCDC157",0.3674,0.29982800216367,0.999184980162191,1.29,"stable","no"
"14003","ENSG00000187866","PABIR1",0.0539,0.70116786202701,0.999184980162191,1.0381,"stable","no"
"14004","ENSG00000187867","PALM3",0.6357,0.129777822198635,0.999184980162191,1.5537,"stable","no"
"14005","ENSG00000187889","FYB2",2.8688,0.410886977611647,0.999184980162191,7.3043,"stable","no"
"14006","ENSG00000187902","SHISA7",-2.5496,0.517488668613483,0.999184980162191,0.1708,"stable","no"
"14007","ENSG00000187905","LRRC74B",0.2357,0.91153454038936,0.999184980162191,1.1775,"stable","no"
"14008","ENSG00000187908","DMBT1",-1.1277,0.0697501144191417,0.999184980162191,0.4576,"stable","no"
"14009","ENSG00000187912","CLEC17A",1.2585,0.553590430348591,0.999184980162191,2.3925,"stable","no"
"14010","ENSG00000187922","LCN10",-3.5441,0.239942345921821,0.999184980162191,0.0857,"stable","no"
"14011","ENSG00000187942","LDLRAD2",1.2902,0.692529959866795,0.999184980162191,2.4455,"stable","no"
"14012","ENSG00000187944","C2orf66",-0.1562,0.923068692574523,0.999184980162191,0.8974,"stable","no"
"14013","ENSG00000187950","OVCH1",2.5289,0.543297302819042,0.999184980162191,5.7712,"stable","no"
"14014","ENSG00000187952","HS6ST1P1",-0.0354,0.967776631327115,0.999184980162191,0.9758,"stable","no"
"14015","ENSG00000187953","PMS2CL",-0.1084,0.449346354524414,0.999184980162191,0.9276,"stable","no"
"14016","ENSG00000187954","ZFTRAF1",-0.1095,0.25488422669657,0.999184980162191,0.9269,"stable","no"
"14017","ENSG00000187955","COL14A1",3.9328,0.13507088224871,0.999184980162191,15.2717,"stable","no"
"14018","ENSG00000187957","DNER",0.0089,0.95732182297145,0.999184980162191,1.0062,"stable","no"
"14019","ENSG00000187959","CPSF4L",-0.5459,0.618281576269516,0.999184980162191,0.6849,"stable","no"
"14020","ENSG00000187961","KLHL17",-0.1137,0.298058498148581,0.999184980162191,0.9242,"stable","no"
"14021","ENSG00000187979","FAM230D",1.0649,0.752388609112015,0.999184980162191,2.092,"stable","no"
"14022","ENSG00000187988","KCTD9P3",0.2122,0.881690395969366,0.999184980162191,1.1584,"stable","no"
"14023","ENSG00000187994","RINL",-0.2073,0.281912049554763,0.999184980162191,0.8661,"stable","no"
"14024","ENSG00000188001","TPRG1",-0.4007,0.815171406945699,0.999184980162191,0.7575,"stable","no"
"14025","ENSG00000188002","PDCD6P1",-0.0688,0.705857181701635,0.999184980162191,0.9534,"stable","no"
"14026","ENSG00000188004","SNHG28",0.9056,0.781642002822891,0.999184980162191,1.8733,"stable","no"
"14027","ENSG00000188010","MORN2",0.1936,0.364876141473829,0.999184980162191,1.1436,"stable","no"
"14028","ENSG00000188013","MEIS3P2",0.2579,0.530549287388235,0.999184980162191,1.1957,"stable","no"
"14029","ENSG00000188015","S100A3",0.351,0.0240022138562221,0.783027549398862,1.2755,"up","yes"
"14030","ENSG00000188021","UBQLN2",-0.0721,0.486205713061835,0.999184980162191,0.9512,"stable","no"
"14031","ENSG00000188026","RILPL1",-0.0034,0.977764289385901,0.999184980162191,0.9977,"stable","no"
"14032","ENSG00000188033","ZNF490",-0.1037,0.772989535571763,0.999184980162191,0.9306,"stable","no"
"14033","ENSG00000188039","NWD1",0.7625,0.66252674770583,0.999184980162191,1.6964,"stable","no"
"14034","ENSG00000188042","ARL4C",-0.1507,0.0527692886620406,0.999184980162191,0.9008,"stable","no"
"14035","ENSG00000188050","RNF133",0.6138,0.769942215786546,0.999184980162191,1.5303,"stable","no"
"14036","ENSG00000188051","TMEM221",-0.4646,0.618283294692191,0.999184980162191,0.7247,"stable","no"
"14037","ENSG00000188060","RAB42",0.9056,0.781642002822891,0.999184980162191,1.8733,"stable","no"
"14038","ENSG00000188064","WNT7B",-1.309,0.0875909953827035,0.999184980162191,0.4036,"stable","no"
"14039","ENSG00000188070","ZFTA",0.0258,0.824051872296906,0.999184980162191,1.018,"stable","no"
"14040","ENSG00000188089","PLA2G4E",1.3268,0.468929866866507,0.999184980162191,2.5085,"stable","no"
"14041","ENSG00000188092","GPR89B",0.0554,0.671898989642342,0.999184980162191,1.0392,"stable","no"
"14042","ENSG00000188095","MESP2",-0.4069,0.56173618616985,0.999184980162191,0.7543,"stable","no"
"14043","ENSG00000188107","EYS",0.5035,0.345776483696232,0.999184980162191,1.4176,"stable","no"
"14044","ENSG00000188124","OR2AG2",-0.4204,0.817951242704275,0.999184980162191,0.7472,"stable","no"
"14045","ENSG00000188130","MAPK12",-0.0984,0.345339949980312,0.999184980162191,0.934,"stable","no"
"14046","ENSG00000188153","COL4A5",0.0734,0.586930023432494,0.999184980162191,1.0522,"stable","no"
"14047","ENSG00000188157","AGRN",-0.2067,0.00579619059597315,0.376173918432395,0.8665,"stable","no"
"14048","ENSG00000188158","NHS",0.0124,0.934288129711634,0.999184980162191,1.0087,"stable","no"
"14049","ENSG00000188163","FAM166A",0.9612,0.452552570758636,0.999184980162191,1.9469,"stable","no"
"14050","ENSG00000188167","TMPPE",-0.0469,0.898651792567365,0.999184980162191,0.968,"stable","no"
"14051","ENSG00000188171","ZNF626",0.0146,0.965545738291491,0.999184980162191,1.0102,"stable","no"
"14052","ENSG00000188177","ZC3H6",0.0094,0.964170800635472,0.999184980162191,1.0065,"stable","no"
"14053","ENSG00000188185","LINC00265",0.0454,0.822967552649393,0.999184980162191,1.032,"stable","no"
"14054","ENSG00000188186","LAMTOR4",0.0425,0.725303570274531,0.999184980162191,1.0299,"stable","no"
"14055","ENSG00000188191","PRKAR1B",0.3653,0.0049380316419231,0.348106785054381,1.2882,"up","yes"
"14056","ENSG00000188199","NUTM2B",0.7109,0.204490081473108,0.999184980162191,1.6368,"stable","no"
"14057","ENSG00000188211","NCR3LG1",-0.1031,0.604802787267781,0.999184980162191,0.931,"stable","no"
"14058","ENSG00000188215","DCUN1D3",-0.0625,0.666735984142806,0.999184980162191,0.9576,"stable","no"
"14059","ENSG00000188219","POTEE",-0.374,0.210396676817022,0.999184980162191,0.7716,"stable","no"
"14060","ENSG00000188227","ZNF793",0.4101,0.285621748870212,0.999184980162191,1.3288,"stable","no"
"14061","ENSG00000188229","TUBB4B",0.1167,0.0624363944503747,0.999184980162191,1.0843,"stable","no"
"14062","ENSG00000188234","AGAP4",-0.2188,0.184594845670035,0.999184980162191,0.8593,"stable","no"
"14063","ENSG00000188243","COMMD6",-0.0537,0.687819480504393,0.999184980162191,0.9635,"stable","no"
"14064","ENSG00000188266","HYKK",-0.5416,0.0944594046003429,0.999184980162191,0.687,"stable","no"
"14065","ENSG00000188277","C15orf62",1.0034,0.00105655443103988,0.130925092919502,2.0047,"up","yes"
"14066","ENSG00000188280","FAM230G",0.4986,0.758914847067676,0.999184980162191,1.4128,"stable","no"
"14067","ENSG00000188282","RUFY4",0.3006,0.783419101370885,0.999184980162191,1.2316,"stable","no"
"14068","ENSG00000188283","ZNF383",-0.1232,0.505138552443077,0.999184980162191,0.9182,"stable","no"
"14069","ENSG00000188290","HES4",-0.1105,0.577327263324866,0.999184980162191,0.9263,"stable","no"
"14070","ENSG00000188295","ZNF669",-0.3486,0.165465196998632,0.999184980162191,0.7853,"stable","no"
"14071","ENSG00000188305","PEAK3",0.7098,0.844340653691067,0.999184980162191,1.6356,"stable","no"
"14072","ENSG00000188306","LRRIQ4",0.8964,0.783376028944893,0.999184980162191,1.8614,"stable","no"
"14073","ENSG00000188312","CENPP",0.2114,0.422035063369001,0.999184980162191,1.1578,"stable","no"
"14074","ENSG00000188313","PLSCR1",-0.0271,0.805123970277177,0.999184980162191,0.9814,"stable","no"
"14075","ENSG00000188315","C3orf62",0.3612,0.191096777374673,0.999184980162191,1.2845,"stable","no"
"14076","ENSG00000188316","ENO4",-0.8694,0.536440319676884,0.999184980162191,0.5474,"stable","no"
"14077","ENSG00000188321","ZNF559",-0.1218,0.50927999863981,0.999184980162191,0.919,"stable","no"
"14078","ENSG00000188322","SBK1",0.1097,0.875245862007593,0.999184980162191,1.079,"stable","no"
"14079","ENSG00000188338","SLC38A3",-0.8773,0.0932702835233151,0.999184980162191,0.5444,"stable","no"
"14080","ENSG00000188342","GTF2F2",0.0649,0.5654054726433,0.999184980162191,1.046,"stable","no"
"14081","ENSG00000188343","CIBAR1",-0.0383,0.775256351225575,0.999184980162191,0.9738,"stable","no"
"14082","ENSG00000188352","FOCAD",0.0911,0.419474850420812,0.999184980162191,1.0652,"stable","no"
"14083","ENSG00000188365",NA,0.1805,0.927588406186647,0.999184980162191,1.1333,"stable","no"
"14084","ENSG00000188368","PRR19",0.0604,0.925372045712274,0.999184980162191,1.0427,"stable","no"
"14085","ENSG00000188372","ZP3",-0.0598,0.71852338142686,0.999184980162191,0.9594,"stable","no"
"14086","ENSG00000188375","H3-5",0.4774,0.583954697121397,0.999184980162191,1.3922,"stable","no"
"14087","ENSG00000188385","JAKMIP3",0.1049,0.849672284265297,0.999184980162191,1.0754,"stable","no"
"14088","ENSG00000188388","GOLGA6L3P",-0.0799,0.940064668494835,0.999184980162191,0.9461,"stable","no"
"14089","ENSG00000188396","DYNLT4",0.1497,0.922563962092561,0.999184980162191,1.1093,"stable","no"
"14090","ENSG00000188404","SELL",-0.1769,0.902821840125301,0.999184980162191,0.8846,"stable","no"
"14091","ENSG00000188419","CHM",0.1247,0.305715293711322,0.999184980162191,1.0902,"stable","no"
"14092","ENSG00000188428","BLOC1S5",-0.2213,0.268763706232853,0.999184980162191,0.8578,"stable","no"
"14093","ENSG00000188452","CERKL",-3.1232,0.392268901030065,0.999184980162191,0.1148,"stable","no"
"14094","ENSG00000188459","WASF4P",-0.3444,0.851104616927076,0.999184980162191,0.7876,"stable","no"
"14095","ENSG00000188460","ACTBP11",0.3333,0.742558560791601,0.999184980162191,1.2599,"stable","no"
"14096","ENSG00000188483","IER5L",0.1314,0.287316485110464,0.999184980162191,1.0953,"stable","no"
"14097","ENSG00000188486","H2AX",0.0143,0.86992367798107,0.999184980162191,1.01,"stable","no"
"14098","ENSG00000188487","INSC",1.0943,0.360239495500693,0.999184980162191,2.1351,"stable","no"
"14099","ENSG00000188488","SERPINA5",0.1698,0.350734754552694,0.999184980162191,1.1249,"stable","no"
"14100","ENSG00000188493","ACTMAP",-0.0221,0.884677227744397,0.999184980162191,0.9848,"stable","no"
"14101","ENSG00000188501","LCTL",0.3737,0.0248968928364071,0.796700570765028,1.2956,"up","yes"
"14102","ENSG00000188505","NCCRP1",-1.2552,0.605369855816169,0.999184980162191,0.4189,"stable","no"
"14103","ENSG00000188511","MIR3667HG",0.002,0.994673423212046,0.999184980162191,1.0014,"stable","no"
"14104","ENSG00000188517","COL25A1",0.0188,0.996237945810589,0.999184980162191,1.0131,"stable","no"
"14105","ENSG00000188522","FAM83G",0.0198,0.848114835774592,0.999184980162191,1.0138,"stable","no"
"14106","ENSG00000188523","CFAP77",-0.615,0.726675394537055,0.999184980162191,0.6529,"stable","no"
"14107","ENSG00000188529","SRSF10",0.073,0.337219523081183,0.999184980162191,1.0519,"stable","no"
"14108","ENSG00000188542","DUSP28",0.103,0.690371094288235,0.999184980162191,1.074,"stable","no"
"14109","ENSG00000188549","CCDC9B",0.0315,0.641545924174004,0.999184980162191,1.0221,"stable","no"
"14110","ENSG00000188554","NBR1",0.0074,0.911006171607908,0.999184980162191,1.0051,"stable","no"
"14111","ENSG00000188559","RALGAPA2",0.1922,0.197813073092623,0.999184980162191,1.1425,"stable","no"
